User,Tweet
Obama,From a big NBA fan congrats to future Hall of Famers Dwyane Wade and Dirk Nowitzki—not just all-time greats but class acts too.
Obama,In just a few minutes I’m taking the stage at the @ObamaFoundation Town Hall Europe for a conversation about how to best support civic leaders carrying out good work across the continent. I hope you’ll tune in live at http://obama.org .https://twitter.com/ObamaFoundation/status/1114516881870872577 …
Obama,A voice everybody should hear.https://twitter.com/ncaawbb/status/1113842633481310212 …
Obama,Here’s a story about people doing good that's worth sharing: @BradPaisley and his wife @Kimwilliamspais saw food insecurity in Nashville and decided to do something about it. They just broke ground on a free grocery store to help families in need:https://apnews.com/2f5bdd226a674fd7bd9dca97c172475c …
Obama,Great to see Chicago’s historic mayoral race between two highly qualified candidates. Congrats to our next mayor Lori Lightfoot—and Toni Preckwinkle campaigned hard and did us proud. I know that with our city’s heart and Lori’s leadership Chicago’s best days are still ahead.
Obama,Valerie is one of my oldest friends and advisors – she was by my side when I first decided to run for office and for every major moment of the presidency. @ValerieJarrett's voice has often inspired me and I know “Finding My Voice” will inspire others to lift their voices too.pic.twitter.com/nWTBDByMoz
Obama,Last night I had the chance to meet with first-term Democrats in Congress—it's a young diverse class stocked with a bunch of my campaign and administration alums who’ve taken the torch. This group is going to be driving progress for a long time to come.pic.twitter.com/W5dDlDtNzE
Obama,Just in the nick of time: My brackets have never been my one shining moment but here we go again. You can check out my #MarchMadness picks here: https://go.obama.org/2019-bracket pic.twitter.com/EcCUdnZjun
Obama,And here are some ways to help cyclone victims in Mozambique Malawi and Zimbabwe:https://www.pbs.org/newshour/world/how-to-help-cyclone-victims-in-mozambique-malawi-and-zimbabwe …
Obama,The floods in the Midwest and in southern Africa are heartbreaking. Suffering and loss on two sides of the world calls for solidarity and strength from all of us. Ask what you can do to help our fellow Americans and families in need. Here are some ideas:https://www.pbs.org/newshour/nation/how-to-help-those-affected-by-the-midwest-flooding …
Obama,In 2011 I visited the tiny town of Moneygall and got to walk around in the house where my great-great-great grandfather Falmouth Kearney lived his early life. I'll always be grateful for the warmth and generosity of the Irish people. Happy St. Patrick's Day! -Barack O’Bamapic.twitter.com/abDtarFbR5
Obama,Michelle and I send our condolences to the people of New Zealand. We grieve with you and the Muslim community. All of us must stand against hatred in all its forms.
Obama,. @MichelleObama and I are rooting hard for Team USA as the Special Olympics World Games get underway this week. Our Special Olympians are terrific examples of America’s heart and drive.
Obama,What a great moment. Happy 110th Virginia.https://twitter.com/MichelleObama/status/1105480037271289856 …
Obama,Michelle and I send our deepest sympathies to all who knew the victims of today’s plane crash in Ethiopia.
Obama,The Crew Dragon’s been on quite a ride since I last saw it—congrats to @NASA and @SpaceX on a successful return! We invested in the @Commercial_Crew program to strengthen the U.S. space program for the long haul and it’s great to see that happening.pic.twitter.com/Dsu5mZcaCZ
Obama,Preethi Alice and Sefora are just three of many @ObamaFoundation leaders who remind us what International Women’s Day is all about: imagining a world free of artificial ceilings for the next generation—and doing the hard work to get us there.
Obama,And @SeforaKodjo is helping the next generation of women leaders in Africa rise up. Her organization is training and mentoring young women across the continent to adopt a new model of leadership one that puts gender equality at the heart of economic development.pic.twitter.com/cRb4EKcrvv
Obama,. @BarbeAlice is helping refugees resettle into welcoming communities in France offering them job training and language immersion as well as a place to stay. More importantly she’s fighting a narrative that suggests our differences are more important than our shared humanity.pic.twitter.com/jNIiKIAZaO
Obama,. @preethiherman is helping women unleash their power to change their societies. As head of the http://Change.org  Foundation she’s leading an initiative that combines online tools with in-person organizing giving women a voice in her native India—and beyond.pic.twitter.com/TKuAKVL5Y1
Obama,On International Women’s Day I’m reflecting on the future we all want for our daughters: one where they can live out their aspirations without limits. And I’m celebrating some of the women who are building that future for all of us today.
Obama,It’s up to all of us as citizens to make sure that the rules of democracy are fair—everywhere—because the next decade of our nation's progress is on the line. Join me and @allontheline in the fight against gerrymandering: http://allontheline.org .pic.twitter.com/rKchS3ltLI
Obama,Zion Williamson seems like an outstanding young man as well as an outstanding basketball player. Wishing him a speedy recovery.
Obama,I’m about to join @StephenCurry30 on stage with @MBK_Alliance to answer questions from boys and young men of color about the challenges that confront them and the opportunities within their grasp. Tune in at http://obama.org .
Obama,I’ve always loved basketball because it’s about building a team that’s equal to more than the sum of its parts. Glad to see this expansion into Africa because for a rising continent this can be about a lot more than what happens on the court.https://twitter.com/NBA/status/1096862836989534208 …
Obama,Happy Valentine’s Day to the extraordinarily smart beautiful funny one and only @MichelleObama. It’s true; she does get down to Motown.pic.twitter.com/uypbZsEiqB
Obama,In the year since their friends were killed the students of Parkland refused to settle for the way things are and marched organized and pushed for the way things should be - helping pass meaningful new gun violence laws in states across the country. I'm proud of all of them.
Obama,Don’t be sad it’s over be proud it taught us so much. Congrats to all the men and women of @NASA on a @MarsRovers mission that beat all expectations inspired a new generation of Americans and demands we keep investing in science that pushes the boundaries of human knowledge.
Obama,Happy 85th birthday to @RealBillRussell - the greatest champion in American sports and a lifelong warrior for justice.
Obama,My statement on the passing of former Congressman John Dingell:pic.twitter.com/gjBYHHImzB
Obama,We lost two great Americans today – Frank Robinson and John Dingell – citizens who inspired me and so many others by leading on the civil rights issues of our time opening doors to others and leaving it all on the field.
Obama,As we celebrate Black History Month and Jackie Robinson’s 100th birthday we celebrate the life of all whose courage opened the gates for everybody and in the process made America better.pic.twitter.com/Fl9aDxqcGi
Obama,The @ObamaFoundation is connecting people from around the world so they can form partnerships just like this. I am inspired by Robert and Vanessa and what’s possible when leaders come together to have an even greater impact on the world.https://twitter.com/ObamaFoundation/status/1088839648665833472 …
Obama,"I’ve always drawn inspiration from what Dr. King called life’s most persistent and urgent question: ""What are you doing for others?"" Let’s honor his legacy by standing up for what is right in our communities and taking steps to make a positive impact on the world."
Obama,I knew it way back then and I’m absolutely convinced of it today — you’re one of a kind @MichelleObama. Happy Birthday!pic.twitter.com/ejqm0uC9J4
Obama,In 2018 people stepped up and showed up like never before. Keep it up in 2019. We’ve got a lot of work to do and I’ll be right there with you. Happy New Year everybody!
Obama,I hope you find inspiration in the stories of Dejah Moussa Sandor Hong and Jonny. Their journeys began with a decision to build the better future they wanted to see. The same is true for you. What matters isn’t the size of the step you take; what matters is that you take it.
Obama,Leaders like Jonny Boucher a Chicago native who after losing too many friends and family to suicide started a coffee shop to offer emotional support and guidance to those who might be in need of a little more than a strong cup of coffee to get through their day.pic.twitter.com/H6XPceR6d9
Obama,Leaders like Hong Hoang who mobilized a youth-led movement to create a greener world after becoming the first Vietnamese person to visit Antarctica. https://www.obama.org/photo-essay-hoang/ …
Obama,Leaders like Moussa Kondo and Sandor Lederer who are each doing their part to fight corruption in their native countries of Mali and Hungary. Two people separated by continents but united in their pursuit of a more just transparent society.https://www.obama.org/fellowship/moussa-kondo-sandor-lederer/ …
Obama,Leaders like Dejah Powell who started an organization to bring health and wellness resources to communities on the South Side of Chicago expanding food access and providing people the space and time to take care of themselves.pic.twitter.com/tPW7NxTGLO
Obama,As the year winds down and we look toward 2019 I’m asking you to make a commitment: find something you want to change in your community and take the first step toward changing it. If you need some inspiration take a look at some of the young leaders who inspired me this year.
Obama,As 2018 draws to a close I’m continuing the tradition of sharing my year-end lists. It gives me a moment to reflect on the year through the books movies and music that I found most thought-provoking inspiring or just plain loved. I hope you enjoy it: https://www.facebook.com/barackobama/posts/10156393283416749 …
Obama,Enjoy the holiday season with the ones you love. Michelle and I wish you a very Merry Christmas!pic.twitter.com/LKLqlYfFUw
Obama,There’s no better time than the holidays to give back to your community. Yesterday I got to do just that at @ChildrensHealth. As we celebrate the season and look forward to 2019 let’s recommit to doing our part to build a world that is a little more generous tolerant and kind.https://twitter.com/ObamaFoundation/status/1075852828118269952 …
Obama,Merry Christmas and happy holidays to the extraordinary kids families and staff at Children’s National. And thanks for humoring me as your stand-in Santa.https://twitter.com/childrenshealth/status/1075507032537620480 …
Obama,Today is the last day of open enrollment. That means it’s the deadline to make sure you and the people you love have health insurance in 2019. So head over to http://HealthCare.gov  to get covered! Here’s what else you need to know today about health care:pic.twitter.com/gosn6c6uCa
Obama,Joe is right. Head to http://healthcare.gov  before tomorrow’s deadline. And nice bracelet by the way.https://twitter.com/JoeBiden/status/1073716529336860673 …
Obama,As Bobby Kennedy taught us the thing about hope is that it travels through space *and* time first splashing against the rocks but eventually breaking down the walls of cruelty and injustice. And if we do our best with the time we’re given others will take hope in our example.https://twitter.com/RFKHumanRights/status/1073054288400801792 …
